date_time,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j
2021-01-01 00:00:00,4.92985862688192,8.324359288640645,3.7,26.788131283939194,57.396068903412306,6.682105288597923,17.06136489860897,19.87460222091024,16.852523424273244,22.172617771148012
2021-01-01 01:00:00,4.792706833244082,8.089101536078887,3.56,23.799036230312723,56.3163743437319,6.410763518739212,14.871093511262753,19.251312238446353,16.952696825792625,21.221185855322034
2021-01-01 02:00:00,4.75050582966219,7.790661051356825,3.27,23.02729714828304,59.61307699046206,6.173557082080748,13.781819448810989,19.171009835148098,16.58396329968991,22.622505506479087
2021-01-01 03:00:00,5.667936513743017,8.065044439822284,2.84,23.553189936931687,54.312612159478554,6.150201190814567,12.731500132164118,19.006027620135995,16.514036578198375,20.747052275400485
2021-01-01 04:00:00,5.07434420221328,7.2209369977835385,2.74,25.028025737531156,58.63082727970884,6.157187456562308,12.094051096470391,17.667903715598307,17.023485740571154,21.48531945073597
2021-01-01 05:00:00,5.650455064474155,7.5304130922699315,2.72,27.536570894217014,55.999150471121695,6.405768986669516,12.52943437110509,18.1455979851031,17.005783795468943,22.532343035210182
2021-01-01 06:00:00,7.011323041660109,7.941124855384416,2.87,33.97431443577186,74.07589130008998,8.02358481032142,19.499000955162092,19.159920757733566,18.68261830275225,25.31406541713087
2021-01-01 07:00:00,9.104417736396206,8.409631241431635,3.08,40.959911160685664,93.5762855890148,10.084106156657558,25.201704230122168,21.169626169183427,20.740010851383847,28.164355441519064
2021-01-01 08:00:00,9.350364806586924,9.192284862544955,3.87,41.322003180663835,95.24384903017418,9.660539223097546,26.034415778286732,22.800615747598094,22.841268445768122,30.88354872676012
2021-01-01 09:00:00,10.044101734709468,10.193070052896168,4.82,39.6218200192283,89.11976841642723,9.326737254564689,27.412677489871232,23.11690739088712,22.81566499678586,31.01893014281214
2021-01-01 10:00:00,9.817766969942742,10.810650162801108,5.87,38.08141186450275,86.236660640247,8.781805974864145,28.325229672434965,23.41076863750232,22.638578444895842,31.418688776395893
2021-01-01 11:00:00,9.299351891433414,10.762806255222847,5.96,37.40666492133617,85.03938622332427,8.556198937415955,26.39252270477167,23.264810844746226,23.098331037919753,32.0012118095303
2021-01-01 12:00:00,9.111562352832063,10.697810226232896,5.66,38.43697551122486,84.3797396244778,8.37056469483035,25.418242454742547,23.856247557132473,22.813953122315432,31.505366451567934
